time,iteration,game_id,unit_tag,unit_type,pos_x,pos_y,target_x,target_y
39.29,220,unknown,4353163265,OVERLORD,51.78076171875,147.28076171875,148.8,96.0
78.57,440,unknown,4353163265,OVERLORD,82.93310546875,130.52294921875,148.8,96.0
78.57,440,unknown,4358406145,OVERLORD,67.10693359375,151.82080078125,96.0,148.8
78.57,440,unknown,4358144002,OVERLORD,36.007568359375,137.029296875,43.199999999999996,96.0
78.57,440,unknown,4358930433,OVERLORD,41.558349609375,140.830322265625,96.0,43.199999999999996
117.86,660,unknown,4353163265,OVERLORD,114.08544921875,113.843017578125,96.0,148.8
117.86,660,unknown,4358406145,OVERLORD,96.0,142.8525390625,96.0,43.199999999999996
117.86,660,unknown,4358144002,OVERLORD,41.902099609375,102.041259765625,43.199999999999996,96.0
117.86,660,unknown,4358930433,OVERLORD,58.316162109375,109.677978515625,148.8,96.0
157.14,880,unknown,4353163265,OVERLORD,145.4345703125,97.57568359375,148.8,96.0
157.14,880,unknown,4358406145,OVERLORD,96.0,107.4033203125,96.0,43.199999999999996
157.14,880,unknown,4358144002,OVERLORD,63.580810546875,116.380859375,96.0,148.8
157.14,880,unknown,4358930433,OVERLORD,75.3671875,78.64501953125,43.199999999999996,96.0
196.43,1100,unknown,4353163265,OVERLORD,126.489501953125,117.815673828125,148.8,96.0
196.43,1100,unknown,4358406145,OVERLORD,96.0,71.9541015625,96.0,43.199999999999996
196.43,1100,unknown,4358144002,OVERLORD,88.502685546875,141.302734375,96.0,148.8
196.43,1100,unknown,4358930433,OVERLORD,93.00439453125,47.93994140625,43.199999999999996,96.0
235.71,1320,unknown,4353163265,OVERLORD,101.51806640625,142.90283203125,96.0,148.8
235.71,1320,unknown,4358406145,OVERLORD,100.408203125,47.608154296875,148.8,96.0
235.71,1320,unknown,4358144002,OVERLORD,96.0,124.4833984375,96.0,43.199999999999996
235.71,1320,unknown,4358930433,OVERLORD,96.0,72.672607421875,43.199999999999996,96.0
275.00,1540,unknown,4353163265,OVERLORD,76.927734375,129.7275390625,96.0,43.199999999999996
275.00,1540,unknown,4358406145,OVERLORD,125.330078125,72.530029296875,43.199999999999996,96.0
275.00,1540,unknown,4358144002,OVERLORD,96.0,89.0341796875,96.0,148.8
275.00,1540,unknown,4358930433,OVERLORD,96.0,108.121826171875,148.8,96.0
314.29,1760,unknown,4353163265,OVERLORD,51.791015625,104.5908203125,64.50424991913829,161.76073098089768
314.29,1760,unknown,4358406145,OVERLORD,147.480712890625,96.900390625,54.506374878707426,161.8910964713465
314.29,1760,unknown,4358144002,OVERLORD,96.0,53.5849609375,52.50424991913828,161.76073098089768
314.29,1760,unknown,4358930433,OVERLORD,96.0,143.571044921875,96.0,148.8
314.29,1760,unknown,4375969794,OVERLORD,78.408203125,147.574951171875,148.8,96.0
314.29,1760,unknown,4376756225,OVERLORD,35.82666015625,140.66650390625,43.199999999999996,96.0
314.29,1760,unknown,4374921218,OVERLORD,40.81982421875,140.38134765625,96.0,43.199999999999996
314.29,1760,unknown,4374134786,OVERLORD,81.493408203125,160.237060546875,86.48937520215429,160.84817254775584
353.57,1980,unknown,4353163265,OVERLORD,66.066162109375,96.0,40.73885999883734,130.55971499970934
353.57,1980,unknown,4358406145,OVERLORD,118.261962890625,116.880859375,42.85828999825601,129.589572499564
353.57,1980,unknown,4358144002,OVERLORD,96.0,67.838623046875,148.8,96.0
353.57,1980,unknown,4358930433,OVERLORD,67.334716796875,157.030029296875,96.0,148.8
353.57,1980,unknown,4375969794,OVERLORD,106.767578125,126.38720703125,43.199999999999996,96.0
353.57,1980,unknown,4376756225,OVERLORD,41.319580078125,105.64697265625,73.90285000290663,137.35071250072667
353.57,1980,unknown,4374921218,OVERLORD,57.875,109.3115234375,52.73885999883734,130.55971499970934
353.57,1980,unknown,4374134786,OVERLORD,66.336669921875,154.429931640625,96.0,43.199999999999996
392.86,2200,unknown,4353163265,OVERLORD,101.515380859375,96.0,113.49053926153307,157.1150935157395
392.86,2200,unknown,4358406145,OVERLORD,89.0712890625,136.889404296875,148.8,96.0
392.86,2200,unknown,4358144002,OVERLORD,96.0,103.287841796875,96.0,43.199999999999996
392.86,2200,unknown,4358930433,OVERLORD,71.746337890625,158.925537109375,96.0,148.8
392.86,2200,unknown,4375969794,OVERLORD,135.255126953125,105.460693359375,79.50378429538677,156.25396259370422
392.86,2200,unknown,4376756225,OVERLORD,68.483154296875,96.0,91.50378429538677,156.25396259370422
392.86,2200,unknown,4374921218,OVERLORD,75.148193359375,78.416748046875,81.50567644308015,156.13094389055632
392.86,2200,unknown,4374134786,OVERLORD,74.930419921875,120.054931640625,43.199999999999996,96.0
432.14,2420,unknown,4353163265,OVERLORD,136.964599609375,96.0,64.50424991913829,161.76073098089768
432.14,2420,unknown,4358406145,OVERLORD,60.267822265625,157.436767578125,43.199999999999996,96.0
432.14,2420,unknown,4358144002,OVERLORD,96.0,138.737060546875,101.48140660377001,160.35930195857273
432.14,2420,unknown,4358930433,OVERLORD,79.503662109375,156.25390625,86.48937520215429,160.84817254775584
432.14,2420,unknown,4375969794,OVERLORD,135.555908203125,108.906494140625,54.506374878707426,161.8910964713465
432.14,2420,unknown,4376756225,OVERLORD,103.932373046875,96.0,96.0,148.8
432.14,2420,unknown,4374921218,OVERLORD,93.021240234375,47.841796875,96.0,43.199999999999996
432.14,2420,unknown,4374134786,OVERLORD,83.7724609375,85.679931640625,52.50424991913828,161.76073098089768
432.14,2420,unknown,4385931275,OVERLORD,45.985595703125,148.7490234375,148.8,96.0
