time,iteration,game_id,unit_tag,unit_type,pos_x,pos_y,target_x,target_y
39.29,220,unknown,4353163265,OVERLORD,153.41015625,53.67041015625,148.8,96.0
78.57,440,unknown,4353163265,OVERLORD,127.35595703125,73.37890625,43.199999999999996,96.0
78.57,440,unknown,4358406145,OVERLORD,152.4013671875,65.3837890625,148.8,96.0
78.57,440,unknown,4359454721,OVERLORD,149.841796875,43.809326171875,96.0,148.8
78.57,440,unknown,4358930433,OVERLORD,142.311279296875,33.48779296875,96.0,43.199999999999996
117.86,660,unknown,4353163265,OVERLORD,124.699951171875,84.90771484375,148.8,96.0
117.86,660,unknown,4358406145,OVERLORD,129.001708984375,70.15966796875,96.0,43.199999999999996
117.86,660,unknown,4359454721,OVERLORD,140.2509765625,76.515380859375,96.0,148.8
117.86,660,unknown,4358930433,OVERLORD,110.298828125,46.695556640625,43.199999999999996,96.0
157.14,880,unknown,4353163265,OVERLORD,148.7998046875,96.0,148.8,96.0
157.14,880,unknown,4358406145,OVERLORD,103.83447265625,59.646484375,96.0,43.199999999999996
157.14,880,unknown,4359454721,OVERLORD,119.732177734375,81.784912109375,96.0,148.8
157.14,880,unknown,4358930433,OVERLORD,92.025390625,71.990478515625,43.199999999999996,96.0
196.43,1100,unknown,4353163265,OVERLORD,121.989501953125,82.4130859375,96.0,43.199999999999996
196.43,1100,unknown,4358406145,OVERLORD,100.277587890625,92.395263671875,96.0,148.8
196.43,1100,unknown,4359454721,OVERLORD,148.7998046875,96.0,148.8,96.0
196.43,1100,unknown,4358930433,OVERLORD,80.935546875,64.855224609375,43.199999999999996,96.0
235.71,1320,unknown,4353163265,OVERLORD,130.5517578125,96.90478515625,148.8,96.0
235.71,1320,unknown,4358406145,OVERLORD,111.87939453125,109.404541015625,96.0,148.8
235.71,1320,unknown,4359454721,OVERLORD,124.9287109375,72.12890625,96.0,43.199999999999996
235.71,1320,unknown,4358930433,OVERLORD,53.453369140625,87.168701171875,43.199999999999996,96.0
275.00,1540,unknown,4353163265,OVERLORD,124.752197265625,66.44970703125,132.5036325778309,20.75581554388744
275.00,1540,unknown,4358406145,OVERLORD,108.569580078125,112.602294921875,136.1690883852206,24.00387702925829
275.00,1540,unknown,4359454721,OVERLORD,91.458251953125,80.29150390625,43.199999999999996,96.0
275.00,1540,unknown,4358930433,OVERLORD,77.22998046875,76.07275390625,96.0,43.199999999999996
275.00,1540,unknown,4378329089,OVERLORD,155.66357421875,45.656494140625,148.8,96.0
275.00,1540,unknown,4375445506,OVERLORD,121.64599609375,42.383056640625,96.0,148.8
314.29,1760,unknown,4353163265,OVERLORD,150.140380859375,42.582763671875,170.15685424949237,27.84314575050762
314.29,1760,unknown,4358406145,OVERLORD,111.18212890625,114.208251953125,166.98528137423858,25.014718625761432
314.29,1760,unknown,4359454721,OVERLORD,104.044921875,100.378662109375,96.0,148.8
314.29,1760,unknown,4358930433,OVERLORD,102.283935546875,58.1650390625,133.75126265847084,58.248737341529164
314.29,1760,unknown,4378329089,OVERLORD,144.357666015625,47.64208984375,144.35786437626905,47.64213562373095
314.29,1760,unknown,4375445506,OVERLORD,118.8935546875,52.1484375,96.0,43.199999999999996
314.29,1760,unknown,4368891907,OVERLORD,156.767822265625,34.814697265625,43.199999999999996,96.0
314.29,1760,unknown,4377542658,OVERLORD,158.151123046875,27.84228515625,158.15685424949237,27.84314575050762
314.29,1760,unknown,4374396930,OVERLORD,147.5400390625,59.274658203125,148.8,96.0
353.57,1980,unknown,4353163265,OVERLORD,123.96435546875,39.711181640625,104.10672473009231,24.89035166459456
353.57,1980,unknown,4358406145,OVERLORD,101.928955078125,113.60546875,89.1554587831795,53.182747225675726
353.57,1980,unknown,4359454721,OVERLORD,97.277587890625,77.2119140625,82.14705287056411,66.44480764493252
353.57,1980,unknown,4358930433,OVERLORD,124.857177734375,57.4912109375,148.8,96.0
353.57,1980,unknown,4378329089,OVERLORD,117.882080078125,40.615234375,108.2378164867282,28.42690110972971
353.57,1980,unknown,4375445506,OVERLORD,88.523193359375,54.4150390625,43.199999999999996,96.0
353.57,1980,unknown,4368891907,OVERLORD,132.65283203125,43.462890625,96.0,148.8
353.57,1980,unknown,4377542658,OVERLORD,126.85546875,32.545654296875,96.2378164867282,28.42690110972971
353.57,1980,unknown,4374396930,OVERLORD,135.756103515625,71.06103515625,96.0,43.199999999999996
392.86,2200,unknown,4353163265,OVERLORD,105.7236328125,41.77783203125,96.0,148.8
392.86,2200,unknown,4358406145,OVERLORD,105.63916015625,79.447021484375,132.5036325778309,20.75581554388744
392.86,2200,unknown,4359454721,OVERLORD,95.19921875,78.677490234375,96.0,43.199999999999996
392.86,2200,unknown,4358930433,OVERLORD,125.0390625,56.904541015625,148.8,96.0
392.86,2200,unknown,4378329089,OVERLORD,102.450927734375,44.658447265625,105.07273831465986,58.920537996994966
392.86,2200,unknown,4375445506,OVERLORD,103.11328125,49.4423828125,113.8272790369485,46.74030742685427
392.86,2200,unknown,4368891907,OVERLORD,136.761474609375,48.470947265625,136.1690883852206,24.00387702925829
392.86,2200,unknown,4377542658,OVERLORD,98.442138671875,52.1904296875,43.199999999999996,96.0
392.86,2200,unknown,4374396930,OVERLORD,118.1708984375,59.591796875,124.16908838522059,24.00387702925829
432.14,2420,unknown,4353163265,OVERLORD,103.08154296875,41.352783203125,96.0,148.8
432.14,2420,unknown,4358406145,OVERLORD,116.210693359375,47.507080078125,136.1690883852206,24.00387702925829
432.14,2420,unknown,4359454721,OVERLORD,95.994873046875,43.24658203125,96.0,43.199999999999996
